epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2965,1.04503,2.87107,1.06577,0.77583,0.24816,0.56336,0.42821,0.77158,2.61366,0.91304,0.000299065,0.000299065,0.000299065
2,43.4557,0.93741,1.45017,1.01361,0.83725,0.77961,0.879,0.65956,0.90681,1.22008,0.93805,0.000596104,0.000596104,0.000596104
3,63.0325,0.93939,1.20293,1.02286,0.80385,0.90299,0.92001,0.72326,0.82597,0.95088,0.96854,0.000887145,0.000887145,0.000887145
4,83.2459,0.9104,1.04176,1.01617,0.88108,0.91266,0.89095,0.68639,0.8692,0.70359,0.98242,0.000882003,0.000882003,0.000882003
5,104.37,0.91185,0.98554,1.021,0.85802,0.97018,0.97639,0.74686,0.88386,0.63912,0.95904,0.000873004,0.000873004,0.000873004
6,123.785,0.89179,0.90612,1.00945,0.88936,0.96988,0.96168,0.78854,0.65998,0.58009,0.91852,0.000864004,0.000864004,0.000864004
7,143.741,0.8804,0.85575,1.00491,0.92152,0.95692,0.94076,0.74294,0.79321,0.5892,0.94951,0.000855005,0.000855005,0.000855005
8,162.941,0.87126,0.817,1.00231,0.84713,0.98481,0.96399,0.78425,0.72483,0.62589,0.93091,0.000846006,0.000846006,0.000846006
9,183.439,0.85978,0.77078,0.99158,0.90571,0.95946,0.94764,0.76902,0.69762,0.56548,0.90572,0.000837007,0.000837007,0.000837007
10,202.942,0.84731,0.73515,0.98708,0.89413,0.93708,0.94421,0.77451,0.64264,0.53851,0.9229,0.000828008,0.000828008,0.000828008
11,223.06,0.84697,0.71951,0.99318,0.93516,0.95993,0.97149,0.76667,0.8076,0.5155,0.93419,0.000819009,0.000819009,0.000819009
12,242.847,0.8291,0.66669,0.98289,0.93037,0.93074,0.95452,0.79561,0.63019,0.51916,0.9181,0.00081001,0.00081001,0.00081001
13,262.695,0.81357,0.62825,0.97352,0.92601,0.95033,0.96015,0.80505,0.63021,0.49528,0.91244,0.000801011,0.000801011,0.000801011
14,282.639,0.80365,0.61949,0.97024,0.87907,0.9158,0.94769,0.77855,0.64128,0.59159,0.92536,0.000792012,0.000792012,0.000792012
15,302.317,0.80327,0.60128,0.97565,0.91893,0.9316,0.96133,0.80568,0.6312,0.49024,0.92323,0.000783013,0.000783013,0.000783013
16,322.742,0.79087,0.59726,0.97268,0.93126,0.96356,0.98014,0.8066,0.6273,0.46223,0.90896,0.000774013,0.000774013,0.000774013
17,342.51,0.77467,0.59532,0.96757,0.92145,0.96513,0.95331,0.75614,0.76853,0.49037,0.95311,0.000765014,0.000765014,0.000765014
18,362.388,0.77827,0.60111,0.96732,0.92735,0.97087,0.96685,0.78821,0.67826,0.48246,0.93895,0.000756015,0.000756015,0.000756015
19,381.818,0.76471,0.56712,0.96311,0.91616,0.96791,0.96606,0.80111,0.62082,0.46078,0.90718,0.000747016,0.000747016,0.000747016
20,401.946,0.75495,0.55423,0.95659,0.91795,0.96324,0.98931,0.83839,0.57263,0.4445,0.89398,0.000738017,0.000738017,0.000738017
21,421.649,0.75872,0.53579,0.95548,0.93574,0.95282,0.97598,0.80253,0.59667,0.43341,0.93506,0.000729018,0.000729018,0.000729018
22,441.082,0.76054,0.53337,0.96372,0.90715,0.95826,0.95934,0.79151,0.61717,0.44625,0.90444,0.000720019,0.000720019,0.000720019
23,461.329,0.75288,0.52261,0.96414,0.90337,0.9932,0.96722,0.81603,0.62032,0.43214,0.91807,0.00071102,0.00071102,0.00071102
24,481.049,0.7354,0.51548,0.94866,0.91679,0.95973,0.9606,0.79811,0.62098,0.46889,0.92846,0.000702021,0.000702021,0.000702021
25,500.839,0.73161,0.51254,0.9519,0.89922,0.9443,0.95211,0.81729,0.5694,0.49064,0.89542,0.000693022,0.000693022,0.000693022
26,519.967,0.73004,0.51181,0.95051,0.9166,0.9587,0.94291,0.78317,0.59336,0.44369,0.91389,0.000684022,0.000684022,0.000684022
27,540.302,0.7281,0.49187,0.94851,0.90538,0.98939,0.97963,0.81908,0.62012,0.45891,0.91513,0.000675023,0.000675023,0.000675023
28,559.922,0.73289,0.50678,0.95483,0.89473,0.94332,0.96364,0.81604,0.57792,0.47103,0.91612,0.000666024,0.000666024,0.000666024
29,580.003,0.72188,0.49219,0.95003,0.90675,0.95923,0.98044,0.82169,0.55914,0.45519,0.89788,0.000657025,0.000657025,0.000657025
30,599.493,0.71884,0.49185,0.94055,0.90556,0.95642,0.96178,0.80001,0.59809,0.45325,0.91709,0.000648026,0.000648026,0.000648026
