epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5291,1.42521,2.74852,1.36317,0.00741,0.98182,0.30694,0.2012,1.18988,3.43028,1.2018,0.000648649,0.000648649,0.000648649
2,23.576,1.23926,1.6735,1.21928,0.28581,0.23636,0.19359,0.12517,1.25459,3.35467,1.28691,0.00130229,0.00130229,0.00130229
3,33.1545,1.24762,1.45223,1.23976,0.88903,0.87398,0.92768,0.60433,1.16902,1.65924,1.30237,0.00194274,0.00194274,0.00194274
4,43.5233,1.22218,1.22388,1.22751,0.75457,0.65455,0.68041,0.42851,1.41356,1.76232,1.47418,0.0019406,0.0019406,0.0019406
5,54.9488,1.1788,1.08199,1.21093,0.96054,0.88536,0.93736,0.57688,1.2022,1.01472,1.40256,0.0019208,0.0019208,0.0019208
6,65.3805,1.16092,0.94194,1.20414,0.99383,0.89091,0.96312,0.60324,1.24028,0.83378,1.35258,0.001901,0.001901,0.001901
7,76.2394,1.11815,0.85138,1.19148,0.99858,0.94545,0.98118,0.67728,1.05672,0.65035,1.23793,0.0018812,0.0018812,0.0018812
8,86.4069,1.11799,0.84247,1.18699,0.9574,0.94545,0.9563,0.66544,1.04773,0.73213,1.20381,0.0018614,0.0018614,0.0018614
9,96.2809,1.06086,0.73273,1.15123,0.98103,0.94055,0.97036,0.69658,1.02651,0.65495,1.22934,0.0018416,0.0018416,0.0018416
10,106.984,1.03882,0.71321,1.12889,1,0.90185,0.96066,0.65388,1.12965,0.71676,1.24831,0.0018218,0.0018218,0.0018218
11,117.132,1.05365,0.70372,1.13961,0.98207,0.99618,0.99375,0.68417,1.03332,0.59464,1.21804,0.001802,0.001802,0.001802
12,127.57,0.98812,0.64192,1.10357,0.92556,0.90909,0.97623,0.68905,1.0559,0.69298,1.21657,0.0017822,0.0017822,0.0017822
13,137.229,0.95691,0.60804,1.09191,0.99853,0.94545,0.9812,0.7327,0.96143,0.5701,1.16854,0.0017624,0.0017624,0.0017624
14,147.731,0.99887,0.61337,1.10968,0.97455,0.98182,0.98643,0.66149,1.18525,0.94553,1.33973,0.0017426,0.0017426,0.0017426
15,157.928,0.95605,0.59833,1.10259,0.99615,0.94545,0.98968,0.69941,1.028,0.56063,1.20803,0.0017228,0.0017228,0.0017228
16,168.083,0.95517,0.59667,1.08066,1,0.94272,0.98844,0.7006,1.05778,0.56743,1.23757,0.001703,0.001703,0.001703
17,178.645,0.94512,0.58284,1.08877,0.99148,0.96364,0.98615,0.72282,0.97593,0.53717,1.17933,0.0016832,0.0016832,0.0016832
