epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.057,1.15744,1.65105,1.17834,0.60183,0.62064,0.63737,0.4201,1.12341,2.0092,1.28723,0.0701128,0.0033208,0.0033208
2,295.4,1.10846,1.25076,1.14336,0.75632,0.81793,0.83704,0.59113,0.95518,1.03004,1.13195,0.0401112,0.00665251,0.00665251
3,446.158,1.00153,1.06599,1.09956,0.7703,0.77284,0.88264,0.64781,0.87307,0.94862,1.07962,0.010103,0.00997771,0.00997771
4,596.949,0.92968,0.91029,1.05722,0.91719,0.88511,0.95763,0.73095,0.82722,0.63196,1.05185,0.00997803,0.00997803,0.00997803
5,745.306,0.87462,0.79471,1.03261,0.93661,0.94382,0.96486,0.76642,0.74265,0.50713,1.01365,0.00996097,0.00996097,0.00996097
6,895.333,0.84187,0.73773,1.01917,0.91612,0.92155,0.96407,0.75149,0.80087,0.53945,1.03452,0.00993906,0.00993906,0.00993906
7,1042.72,0.81957,0.72394,1.00975,0.9374,0.9502,0.9713,0.77423,0.72452,0.50481,0.99678,0.00991232,0.00991232,0.00991232
8,1195.02,0.79189,0.66845,0.9995,0.94802,0.96217,0.98102,0.7879,0.73873,0.46848,0.99421,0.00988079,0.00988079,0.00988079
9,1346.4,0.77617,0.64861,0.98952,0.94095,0.94823,0.96834,0.77387,0.74347,0.43939,1.00415,0.00984449,0.00984449,0.00984449
10,1494.31,0.74546,0.61336,0.98264,0.96052,0.95465,0.9797,0.77829,0.7293,0.45527,0.98939,0.00980345,0.00980345,0.00980345
11,1641.81,0.72023,0.58646,0.96643,0.93311,0.96774,0.979,0.80605,0.66109,0.40452,0.96951,0.00975773,0.00975773,0.00975773
12,1795.5,0.71841,0.56907,0.96487,0.95807,0.96839,0.97546,0.80893,0.66681,0.39288,0.97485,0.00970736,0.00970736,0.00970736
13,1948.95,0.71186,0.56074,0.9704,0.95596,0.97122,0.97943,0.81581,0.66237,0.37873,0.96511,0.00965239,0.00965239,0.00965239
14,2102.79,0.7033,0.55102,0.96355,0.97448,0.95809,0.98193,0.81381,0.67352,0.38546,0.98131,0.00959289,0.00959289,0.00959289
15,2255.21,0.69599,0.54526,0.95757,0.95513,0.96985,0.97826,0.81124,0.65048,0.37772,0.96301,0.00952889,0.00952889,0.00952889
16,2407.7,0.67471,0.51375,0.95303,0.95448,0.9569,0.97615,0.81999,0.64287,0.37787,0.96921,0.00946048,0.00946048,0.00946048
17,2560.95,0.66358,0.51188,0.94889,0.94481,0.97938,0.97875,0.82578,0.6207,0.36219,0.95273,0.00938772,0.00938772,0.00938772
18,2718.89,0.66818,0.49795,0.94884,0.95605,0.97999,0.98279,0.82828,0.62184,0.33151,0.94986,0.00931067,0.00931067,0.00931067
19,2881.57,0.65462,0.48823,0.94155,0.96903,0.96952,0.98125,0.83024,0.65416,0.34203,0.97128,0.00922942,0.00922942,0.00922942
20,3044.62,0.6442,0.4761,0.93714,0.96147,0.9745,0.98442,0.82517,0.65425,0.35618,0.96589,0.00914405,0.00914405,0.00914405
21,3206.68,0.63407,0.47433,0.94102,0.96236,0.98367,0.98717,0.84359,0.62115,0.34092,0.95781,0.00905463,0.00905463,0.00905463
22,3383.91,0.63608,0.46972,0.93176,0.96715,0.97048,0.97664,0.82649,0.62674,0.33769,0.95519,0.00896127,0.00896127,0.00896127
23,3536.72,0.62419,0.45816,0.93229,0.959,0.97972,0.98676,0.83675,0.62887,0.32742,0.95879,0.00886404,0.00886404,0.00886404
24,3683.87,0.62346,0.45288,0.93034,0.96732,0.98189,0.98993,0.84412,0.61155,0.3334,0.94593,0.00876305,0.00876305,0.00876305
25,3836.1,0.61047,0.43966,0.92492,0.96877,0.9704,0.98759,0.84625,0.61539,0.31867,0.94747,0.00865839,0.00865839,0.00865839
26,3984.66,0.58697,0.43394,0.91638,0.96511,0.97443,0.98672,0.84485,0.60814,0.30544,0.95082,0.00855018,0.00855018,0.00855018
27,4130.66,0.6066,0.44169,0.92621,0.95292,0.98345,0.98652,0.83982,0.61724,0.3135,0.95047,0.00843851,0.00843851,0.00843851
28,4277.15,0.59127,0.42508,0.91995,0.96854,0.9726,0.98835,0.84795,0.5997,0.3055,0.94069,0.00832349,0.00832349,0.00832349
29,4432.74,0.58968,0.41013,0.91995,0.96691,0.9809,0.98302,0.84334,0.62145,0.31566,0.95762,0.00820525,0.00820525,0.00820525
30,4580.18,0.58726,0.42595,0.92375,0.96441,0.97505,0.98207,0.85078,0.60794,0.31148,0.94578,0.00808389,0.00808389,0.00808389
31,4734.33,0.5788,0.41024,0.91587,0.95819,0.98206,0.98812,0.84991,0.60352,0.2996,0.94729,0.00795954,0.00795954,0.00795954
32,4881.51,0.57164,0.40536,0.91463,0.96938,0.98713,0.98653,0.84948,0.59949,0.30036,0.94296,0.00783231,0.00783231,0.00783231
33,5028.32,0.56393,0.38976,0.91093,0.96638,0.9908,0.9867,0.85126,0.59498,0.28565,0.93975,0.00770234,0.00770234,0.00770234
34,5185.73,0.55126,0.38205,0.90796,0.96663,0.9844,0.9876,0.85157,0.59834,0.28999,0.94897,0.00756976,0.00756976,0.00756976
35,5334.87,0.54921,0.38266,0.90134,0.97128,0.97425,0.9812,0.83771,0.62211,0.30549,0.9518,0.00743468,0.00743468,0.00743468
36,5497.17,0.54173,0.37527,0.90245,0.9734,0.98124,0.98827,0.85884,0.59689,0.28006,0.94299,0.00729725,0.00729725,0.00729725
37,5650.34,0.53772,0.37745,0.90287,0.9645,0.97922,0.98477,0.8541,0.59834,0.29563,0.94939,0.00715761,0.00715761,0.00715761
38,5797.1,0.53285,0.36283,0.90179,0.96132,0.98334,0.98399,0.85539,0.59166,0.28113,0.94623,0.00701588,0.00701588,0.00701588
39,5956.26,0.52316,0.36846,0.89308,0.96943,0.9706,0.98406,0.85289,0.58943,0.28455,0.94304,0.00687222,0.00687222,0.00687222
40,6117.97,0.52769,0.35169,0.89746,0.96425,0.97932,0.98455,0.85559,0.59786,0.28575,0.94918,0.00672675,0.00672675,0.00672675
41,6269.89,0.51228,0.35548,0.89344,0.9706,0.97936,0.98882,0.85328,0.59869,0.29006,0.94602,0.00657963,0.00657963,0.00657963
42,6421.93,0.50451,0.35401,0.89017,0.96973,0.97462,0.98461,0.85642,0.58638,0.28141,0.94771,0.00643101,0.00643101,0.00643101
43,6579.6,0.49191,0.34037,0.88271,0.95925,0.98457,0.98668,0.86101,0.58874,0.2861,0.94319,0.00628101,0.00628101,0.00628101
44,6732.89,0.49876,0.33879,0.88681,0.96967,0.97987,0.98779,0.86065,0.60155,0.28411,0.94905,0.00612981,0.00612981,0.00612981
45,6889.66,0.49303,0.33741,0.88819,0.96871,0.98529,0.98821,0.86033,0.58522,0.2755,0.9422,0.00597754,0.00597754,0.00597754
46,7041.93,0.49367,0.33882,0.88421,0.96687,0.97579,0.98543,0.8577,0.593,0.2797,0.94684,0.00582435,0.00582435,0.00582435
47,7195.17,0.48399,0.32455,0.88237,0.97175,0.97599,0.98653,0.8578,0.59786,0.27345,0.95244,0.0056704,0.0056704,0.0056704
48,7347.4,0.48566,0.3261,0.88477,0.97009,0.97397,0.98802,0.86481,0.59089,0.27652,0.94495,0.00551584,0.00551584,0.00551584
