epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5356,1.12355,1.9433,1.08031,0.82936,0.78442,0.91293,0.67342,0.93885,1.18927,1.06936,0.0671919,0.000331395,0.000331395
2,94.8441,0.95152,0.86875,1.03706,0.94367,0.93388,0.97714,0.7294,0.91405,0.72615,1.08588,0.0341917,0.000664566,0.000664566
3,141.213,0.91667,0.77533,1.02734,0.9051,0.92944,0.98268,0.73678,0.90156,0.73023,1.07591,0.00119089,0.000997087,0.000997087
4,187.299,0.90126,0.69068,1.02545,0.9279,0.94874,0.9828,0.77371,0.80685,0.65532,1.03214,0.000997803,0.000997803,0.000997803
5,235.543,0.86826,0.65311,1.01101,0.98653,0.96216,0.99214,0.79794,0.77747,0.46189,1.02198,0.000996097,0.000996097,0.000996097
6,283.248,0.85954,0.59706,1.00061,0.98977,0.97583,0.98641,0.77578,0.80456,0.48235,1.02252,0.000993906,0.000993906,0.000993906
7,329.464,0.84964,0.55893,0.99069,0.98037,0.98759,0.99141,0.8018,0.76636,0.4277,1.01907,0.000991232,0.000991232,0.000991232
8,376.613,0.82036,0.54275,0.97992,0.98649,0.98406,0.99493,0.78618,0.83033,0.43487,1.04727,0.000988079,0.000988079,0.000988079
9,420.412,0.80613,0.53117,0.98214,0.99337,0.98488,0.99471,0.80059,0.78175,0.40351,1.02189,0.000984449,0.000984449,0.000984449
10,465.698,0.80782,0.52799,0.97889,0.98428,0.98204,0.98936,0.78807,0.78827,0.434,1.01818,0.000980345,0.000980345,0.000980345
11,509.641,0.79886,0.51389,0.97621,0.98167,0.9749,0.99137,0.78087,0.83146,0.43113,1.04681,0.000975773,0.000975773,0.000975773
12,553.624,0.7796,0.49474,0.9695,0.98619,0.99544,0.995,0.79647,0.78521,0.39329,1.02898,0.000970736,0.000970736,0.000970736
13,598.194,0.76452,0.48002,0.96813,0.99024,0.97876,0.99346,0.80527,0.75582,0.38826,1.00608,0.000965239,0.000965239,0.000965239
14,641.728,0.75895,0.48026,0.96274,0.97725,0.98658,0.98969,0.79726,0.76534,0.38449,1.0281,0.000959289,0.000959289,0.000959289
15,686.667,0.75709,0.45898,0.96588,0.98661,0.97436,0.98683,0.80188,0.77921,0.39376,1.00421,0.000952889,0.000952889,0.000952889
16,730.04,0.75306,0.45609,0.9632,0.99221,0.98865,0.99132,0.79493,0.76659,0.37253,1.01929,0.000946048,0.000946048,0.000946048
17,774.09,0.72487,0.44183,0.9513,0.98768,0.98153,0.9912,0.81458,0.74561,0.36555,1.00502,0.000938772,0.000938772,0.000938772
18,818.404,0.73417,0.4401,0.94758,0.99355,0.99057,0.99438,0.81007,0.75073,0.34719,1.00634,0.000931067,0.000931067,0.000931067
19,862.056,0.72696,0.4421,0.95062,0.98068,0.98528,0.99157,0.8058,0.77753,0.35832,1.00415,0.000922942,0.000922942,0.000922942
20,906.387,0.71399,0.42095,0.9516,0.98335,0.98237,0.9928,0.81032,0.75237,0.34994,1.01984,0.000914405,0.000914405,0.000914405
21,949.422,0.71249,0.42108,0.94222,0.96173,0.97867,0.98799,0.78727,0.7836,0.384,1.02662,0.000905463,0.000905463,0.000905463
22,992.594,0.70204,0.42316,0.93647,0.98289,0.98817,0.99205,0.81267,0.74733,0.33893,1.00817,0.000896127,0.000896127,0.000896127
23,1037.16,0.69151,0.42391,0.94216,0.99162,0.9859,0.99438,0.80126,0.76695,0.34441,1.02111,0.000886404,0.000886404,0.000886404
24,1081.07,0.68094,0.41129,0.93609,0.98047,0.98008,0.98974,0.80637,0.74398,0.34741,1.00557,0.000876305,0.000876305,0.000876305
25,1124.82,0.6716,0.3959,0.93208,0.97998,0.98768,0.99181,0.80745,0.75856,0.33383,1.01945,0.000865839,0.000865839,0.000865839
26,1168.62,0.66736,0.38132,0.93215,0.99048,0.99073,0.99467,0.81738,0.74366,0.33048,1.01408,0.000855018,0.000855018,0.000855018
27,1211.85,0.67109,0.38956,0.93089,0.98836,0.9902,0.99434,0.81831,0.74412,0.32193,1.00765,0.000843851,0.000843851,0.000843851
28,1256.75,0.67167,0.38638,0.93151,0.99071,0.9851,0.99389,0.82162,0.74528,0.31931,1.00171,0.000832349,0.000832349,0.000832349
29,1300.12,0.65981,0.3862,0.93266,0.98302,0.98341,0.9902,0.79918,0.7492,0.35431,1.01935,0.000820525,0.000820525,0.000820525
30,1344.34,0.65638,0.37895,0.93207,0.98493,0.98488,0.99319,0.81813,0.74982,0.34344,1.01929,0.000808389,0.000808389,0.000808389
31,1388.8,0.63954,0.36807,0.91857,0.98401,0.98759,0.99251,0.8088,0.74795,0.33519,1.01321,0.000795954,0.000795954,0.000795954
32,1432.1,0.62416,0.36518,0.91692,0.9944,0.98528,0.9911,0.82575,0.71595,0.31161,1.00537,0.000783231,0.000783231,0.000783231
33,1476.76,0.62638,0.35879,0.92043,0.99399,0.98006,0.98943,0.80166,0.75307,0.33109,1.01691,0.000770234,0.000770234,0.000770234
34,1520.44,0.62421,0.36739,0.91694,0.9889,0.99286,0.98973,0.79036,0.78291,0.35477,1.02641,0.000756976,0.000756976,0.000756976
35,1565.31,0.63182,0.36493,0.91606,0.98739,0.99046,0.99438,0.80879,0.75787,0.32043,1.01792,0.000743468,0.000743468,0.000743468
36,1608.98,0.62478,0.36472,0.91595,0.98419,0.98066,0.99283,0.80618,0.76552,0.33602,1.01603,0.000729725,0.000729725,0.000729725
37,1653.01,0.62477,0.36138,0.91668,0.97229,0.98915,0.99291,0.82484,0.71567,0.32817,1.00344,0.000715761,0.000715761,0.000715761
38,1698.05,0.61123,0.35689,0.90558,0.98649,0.98907,0.98675,0.80374,0.75776,0.32385,1.02711,0.000701588,0.000701588,0.000701588
39,1742,0.60837,0.35319,0.90934,0.98768,0.98717,0.99369,0.81208,0.75583,0.31519,1.0165,0.000687222,0.000687222,0.000687222
40,1786.65,0.59335,0.33965,0.90257,0.99472,0.98601,0.9943,0.80698,0.75587,0.31928,1.03139,0.000672675,0.000672675,0.000672675
41,1830.76,0.6057,0.33958,0.90889,0.99122,0.98283,0.99258,0.82678,0.73724,0.31384,1.01802,0.000657963,0.000657963,0.000657963
42,1874.38,0.58691,0.33646,0.90593,0.99504,0.98285,0.99182,0.82132,0.73958,0.31111,1.01434,0.000643101,0.000643101,0.000643101
43,1919.25,0.58041,0.3398,0.90249,0.98593,0.98021,0.99166,0.81528,0.74628,0.32899,1.02389,0.000628101,0.000628101,0.000628101
44,1962.51,0.57787,0.3317,0.90247,0.99096,0.98341,0.99051,0.81723,0.74056,0.31343,1.01271,0.000612981,0.000612981,0.000612981
45,2007.26,0.58638,0.33289,0.9003,0.99159,0.98111,0.99105,0.8191,0.73447,0.29732,1.0172,0.000597754,0.000597754,0.000597754
46,2051.13,0.57018,0.32554,0.89344,0.98902,0.98342,0.99291,0.81158,0.76171,0.31755,1.04353,0.000582435,0.000582435,0.000582435
47,2094.86,0.55523,0.32553,0.89074,0.99062,0.98708,0.99112,0.81595,0.73247,0.29352,1.01843,0.00056704,0.00056704,0.00056704
48,2139.56,0.54844,0.31653,0.89281,0.99294,0.98868,0.99239,0.81707,0.73216,0.30753,1.01475,0.000551584,0.000551584,0.000551584
49,2183.24,0.54029,0.31025,0.88727,0.98167,0.99422,0.99467,0.82768,0.71614,0.29253,1.01345,0.000536081,0.000536081,0.000536081
50,2227.85,0.55368,0.31465,0.89416,0.98926,0.9883,0.99282,0.80765,0.77007,0.31081,1.03792,0.000520548,0.000520548,0.000520548
51,2271.5,0.54898,0.31474,0.89104,0.99557,0.98774,0.99173,0.81944,0.73616,0.30136,1.02165,0.000505,0.000505,0.000505
52,2315.47,0.53304,0.30775,0.89031,0.9951,0.98171,0.991,0.81864,0.72763,0.29052,1.01665,0.000489452,0.000489452,0.000489452
53,2359.53,0.53803,0.30544,0.88679,0.98365,0.99274,0.9933,0.81465,0.76051,0.31085,1.03611,0.000473919,0.000473919,0.000473919
54,2403.53,0.52182,0.29485,0.88252,0.99352,0.98498,0.99173,0.82991,0.72943,0.297,1.02356,0.000458416,0.000458416,0.000458416
55,2448.5,0.51957,0.29845,0.88411,0.98575,0.98541,0.99146,0.82474,0.7457,0.30551,1.02482,0.00044296,0.00044296,0.00044296
56,2491.84,0.51486,0.29456,0.88311,0.99341,0.98598,0.99226,0.8146,0.74946,0.29241,1.03227,0.000427565,0.000427565,0.000427565
57,2535.77,0.52694,0.30339,0.88736,0.99265,0.98753,0.99129,0.82684,0.70878,0.27644,1.0212,0.000412246,0.000412246,0.000412246
58,2579.17,0.50016,0.29457,0.87478,0.97884,0.98779,0.99105,0.81901,0.75821,0.30541,1.03618,0.000397019,0.000397019,0.000397019
59,2622.64,0.50608,0.29557,0.87957,0.98204,0.98993,0.99448,0.81982,0.73947,0.28557,1.04345,0.000381899,0.000381899,0.000381899
60,2667.55,0.49834,0.286,0.87772,0.99031,0.98369,0.99452,0.8242,0.72449,0.28559,1.0388,0.000366899,0.000366899,0.000366899
61,2711.07,0.49169,0.28575,0.87843,0.98967,0.99084,0.99304,0.82738,0.7268,0.28243,1.03438,0.000352037,0.000352037,0.000352037
62,2754.75,0.48539,0.28075,0.87004,0.98767,0.98914,0.99148,0.82454,0.72945,0.28926,1.0308,0.000337325,0.000337325,0.000337325
63,2799.16,0.48837,0.27922,0.87383,0.9943,0.98779,0.99298,0.81721,0.74264,0.28697,1.04509,0.000322778,0.000322778,0.000322778
64,2842.74,0.48226,0.27555,0.8769,0.98426,0.99013,0.99112,0.82013,0.73153,0.29451,1.04121,0.000308412,0.000308412,0.000308412
