epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9751,0.9473,2.08512,1.07582,0.1057,0.32033,0.09381,0.06089,1.23194,3.95422,1.35449,0.0703158,0.00329825,0.00329825
2,56.4878,0.93946,1.37258,1.06323,0.20816,0.37145,0.18341,0.11731,1.17552,5.06325,1.28476,0.0403133,0.00662905,0.00662905
3,82.0655,0.94908,1.24621,1.07301,0.39949,0.44517,0.40005,0.2679,1.12925,2.18929,1.24474,0.0103006,0.00994971,0.00994971
4,107.776,0.88297,1.12079,1.02907,0.59123,0.68768,0.69089,0.52522,0.81582,1.46406,1.06588,0.00996569,0.00996569,0.00996569
5,133.126,0.82527,0.98457,1.0024,0.81962,0.8291,0.91547,0.70784,0.76177,0.8985,1.0064,0.00993906,0.00993906,0.00993906
6,158.381,0.80648,0.90899,1.00079,0.72206,0.60184,0.7161,0.56041,0.74665,1.48335,0.97951,0.00990489,0.00990489,0.00990489
7,183.888,0.7812,0.83476,0.99395,0.83111,0.86203,0.92524,0.76131,0.6791,0.81102,0.97128,0.00986323,0.00986323,0.00986323
8,209.398,0.74554,0.78764,0.97539,0.88572,0.82774,0.92024,0.75752,0.65621,0.72328,0.95971,0.00981415,0.00981415,0.00981415
9,235.369,0.74582,0.78145,0.97628,0.82144,0.81462,0.90815,0.73893,0.62576,0.91228,0.94691,0.00975773,0.00975773,0.00975773
10,260.263,0.72065,0.74573,0.96146,0.92894,0.97265,0.97152,0.78416,0.65274,0.64911,0.96803,0.00969405,0.00969405,0.00969405
11,285.738,0.73151,0.70333,0.9706,0.89673,0.88809,0.95925,0.80662,0.56623,0.53385,0.91994,0.0096232,0.0096232,0.0096232
12,310.641,0.66692,0.62171,0.9459,0.94022,0.9177,0.95314,0.8054,0.53862,0.47302,0.9081,0.00954531,0.00954531,0.00954531
13,335.885,0.67974,0.65034,0.94615,0.89272,0.90256,0.93261,0.79222,0.59807,0.5686,0.94512,0.00946048,0.00946048,0.00946048
14,361.197,0.70894,0.68465,0.95805,0.85529,0.92802,0.95976,0.80767,0.60348,0.53922,0.93274,0.00936886,0.00936886,0.00936886
15,386.23,0.65961,0.6021,0.93924,0.91261,0.96797,0.97193,0.81646,0.58319,0.46961,0.92275,0.00927057,0.00927057,0.00927057
16,411.655,0.64514,0.57,0.93908,0.93195,0.85259,0.95628,0.81375,0.5768,0.56798,0.92983,0.00916577,0.00916577,0.00916577
17,435.881,0.63851,0.56377,0.94074,0.95366,0.95471,0.96382,0.84447,0.5162,0.3977,0.89737,0.00905463,0.00905463,0.00905463
18,461.236,0.6601,0.60321,0.93967,0.91231,0.89242,0.9377,0.79467,0.56387,0.50056,0.91744,0.00893732,0.00893732,0.00893732
19,486.481,0.64557,0.55831,0.93573,0.94498,0.95729,0.97454,0.85432,0.49654,0.38541,0.89186,0.00881401,0.00881401,0.00881401
20,511.995,0.63252,0.54091,0.9343,0.94202,0.97267,0.98198,0.86166,0.49728,0.38411,0.88705,0.0086849,0.0086849,0.0086849
21,537.827,0.61536,0.52285,0.92858,0.92112,0.91145,0.96316,0.82225,0.54257,0.50781,0.90589,0.00855018,0.00855018,0.00855018
22,563.662,0.60755,0.53719,0.92278,0.93927,0.94972,0.97051,0.84413,0.52519,0.3952,0.89324,0.00841006,0.00841006,0.00841006
23,588.992,0.60099,0.49655,0.92121,0.92999,0.97299,0.96853,0.84972,0.49453,0.37847,0.89026,0.00826477,0.00826477,0.00826477
24,614.384,0.59881,0.51149,0.92537,0.92131,0.94835,0.96037,0.81653,0.546,0.42916,0.91336,0.00811452,0.00811452,0.00811452
25,639.651,0.59128,0.49394,0.91895,0.94687,0.96324,0.95987,0.85236,0.46881,0.36044,0.88081,0.00795954,0.00795954,0.00795954
26,665.034,0.59461,0.53589,0.91988,0.94397,0.98211,0.97917,0.86861,0.47288,0.37491,0.88204,0.00780007,0.00780007,0.00780007
27,690.322,0.58551,0.49488,0.91577,0.9417,0.99146,0.97518,0.86157,0.49628,0.38651,0.8947,0.00763637,0.00763637,0.00763637
28,715.734,0.60054,0.50555,0.92303,0.93387,0.96137,0.97942,0.84781,0.53047,0.41202,0.89347,0.00746868,0.00746868,0.00746868
29,740.709,0.58244,0.46325,0.91772,0.94948,0.97248,0.97741,0.86384,0.47451,0.33898,0.87862,0.00729725,0.00729725,0.00729725
30,766.313,0.55316,0.44442,0.91043,0.94916,0.97009,0.98197,0.87372,0.44679,0.32946,0.87456,0.00712237,0.00712237,0.00712237
31,791.455,0.54928,0.42431,0.90472,0.94425,0.98477,0.98217,0.88097,0.44455,0.31802,0.87326,0.00694428,0.00694428,0.00694428
32,817.245,0.55047,0.44003,0.90781,0.93578,0.98157,0.98327,0.86849,0.47679,0.34766,0.88841,0.00676328,0.00676328,0.00676328
33,842.703,0.54518,0.41721,0.8982,0.94931,0.94048,0.97541,0.86035,0.47897,0.36732,0.88243,0.00657963,0.00657963,0.00657963
34,868.167,0.54023,0.43429,0.89688,0.9322,0.98658,0.98075,0.87498,0.45331,0.33706,0.88211,0.00639363,0.00639363,0.00639363
35,894.186,0.54954,0.4312,0.90196,0.95349,0.97415,0.97643,0.86247,0.45379,0.35486,0.8788,0.00620555,0.00620555,0.00620555
36,919.511,0.52337,0.41422,0.90013,0.9432,0.98601,0.98316,0.8758,0.4557,0.31232,0.88231,0.0060157,0.0060157,0.0060157
37,944.766,0.52568,0.41453,0.89649,0.92649,0.93347,0.96018,0.83593,0.50001,0.41933,0.89646,0.00582435,0.00582435,0.00582435
38,970.435,0.52906,0.39998,0.8979,0.94232,0.98723,0.98205,0.87802,0.43765,0.3108,0.87095,0.00563181,0.00563181,0.00563181
39,995.984,0.50791,0.39468,0.89188,0.94498,0.98214,0.98217,0.88467,0.42916,0.30902,0.86713,0.00543837,0.00543837,0.00543837
40,1021.5,0.51113,0.39171,0.88831,0.94142,0.97636,0.98255,0.88311,0.43701,0.30993,0.87111,0.00524434,0.00524434,0.00524434
41,1046.89,0.50802,0.39028,0.89165,0.93443,0.98778,0.98218,0.88802,0.42761,0.30439,0.86435,0.00505,0.00505,0.00505
42,1073.14,0.51051,0.38161,0.89839,0.95135,0.96549,0.9761,0.87878,0.41982,0.30163,0.86512,0.00485566,0.00485566,0.00485566
43,1098.47,0.50316,0.39695,0.89234,0.94588,0.98516,0.97831,0.87644,0.43171,0.31356,0.86896,0.00466163,0.00466163,0.00466163
44,1124.19,0.51494,0.37979,0.894,0.93647,0.97931,0.9745,0.87969,0.42755,0.31756,0.86774,0.00446819,0.00446819,0.00446819
45,1149.68,0.50552,0.38647,0.89272,0.93951,0.98808,0.98195,0.88786,0.43249,0.30865,0.86288,0.00427565,0.00427565,0.00427565
46,1175.13,0.49489,0.37294,0.88774,0.94494,0.98609,0.97897,0.88508,0.41824,0.30023,0.87045,0.0040843,0.0040843,0.0040843
47,1200.28,0.49168,0.36758,0.88781,0.92611,0.9902,0.98463,0.88126,0.44099,0.30633,0.87167,0.00389445,0.00389445,0.00389445
48,1225.52,0.49538,0.36061,0.88784,0.94467,0.9906,0.9826,0.88854,0.41415,0.28263,0.86497,0.00370637,0.00370637,0.00370637
49,1251.03,0.48524,0.34774,0.88027,0.95778,0.98123,0.97577,0.88026,0.43332,0.28608,0.87346,0.00352037,0.00352037,0.00352037
50,1276.23,0.47125,0.34822,0.88011,0.95424,0.99283,0.97911,0.88861,0.40375,0.28059,0.8594,0.00333672,0.00333672,0.00333672
51,1301.93,0.46311,0.33801,0.87744,0.95097,0.98619,0.98204,0.8897,0.42608,0.2756,0.86615,0.00315572,0.00315572,0.00315572
52,1327.47,0.47027,0.35347,0.8818,0.95452,0.96955,0.98264,0.89564,0.40573,0.28029,0.86103,0.00297763,0.00297763,0.00297763
53,1352.99,0.44877,0.31733,0.86904,0.94979,0.98782,0.98308,0.895,0.40829,0.28062,0.86012,0.00280275,0.00280275,0.00280275
54,1378.86,0.45513,0.32397,0.87129,0.95304,0.97788,0.98347,0.8968,0.40045,0.2707,0.85811,0.00263132,0.00263132,0.00263132
55,1404.32,0.46005,0.32047,0.88093,0.95094,0.99075,0.98443,0.89196,0.4102,0.27647,0.8625,0.00246363,0.00246363,0.00246363
56,1429.53,0.45393,0.32613,0.87289,0.94599,0.99258,0.98258,0.89546,0.39484,0.26565,0.8604,0.00229993,0.00229993,0.00229993
57,1454.93,0.44674,0.32231,0.87223,0.94522,0.98912,0.98165,0.89076,0.39865,0.27361,0.85907,0.00214046,0.00214046,0.00214046
58,1480.63,0.44293,0.31402,0.87334,0.95405,0.98227,0.98263,0.89725,0.38435,0.25878,0.85529,0.00198548,0.00198548,0.00198548
59,1506.3,0.44185,0.30671,0.87238,0.9436,0.99601,0.97675,0.88953,0.39647,0.27453,0.85925,0.00183523,0.00183523,0.00183523
60,1532,0.44266,0.30911,0.87157,0.95183,0.98959,0.98428,0.89872,0.39138,0.26438,0.85779,0.00168994,0.00168994,0.00168994
61,1557.34,0.43498,0.30113,0.87197,0.9432,0.99383,0.98323,0.90039,0.3869,0.2572,0.85328,0.00154982,0.00154982,0.00154982
62,1583.13,0.43101,0.29512,0.87194,0.95153,0.98503,0.98466,0.89523,0.39035,0.26449,0.8562,0.0014151,0.0014151,0.0014151
63,1608.56,0.43012,0.29517,0.86929,0.94915,0.99302,0.98272,0.89115,0.40261,0.26028,0.85855,0.00128599,0.00128599,0.00128599
64,1634.39,0.42708,0.29404,0.86844,0.94588,0.98587,0.98067,0.89837,0.38378,0.2572,0.8526,0.00116268,0.00116268,0.00116268
65,1659.56,0.4173,0.28519,0.86901,0.94549,0.993,0.98239,0.9002,0.38285,0.2612,0.85404,0.00104537,0.00104537,0.00104537
66,1685.27,0.42745,0.29075,0.87266,0.942,0.99696,0.98215,0.89492,0.39074,0.26372,0.85564,0.000934225,0.000934225,0.000934225
67,1710.94,0.40776,0.27703,0.86045,0.94387,0.99712,0.98199,0.89807,0.38568,0.26359,0.85573,0.000829431,0.000829431,0.000829431
68,1735.94,0.40765,0.27605,0.86023,0.93976,0.99435,0.98293,0.90226,0.38584,0.257,0.85401,0.000731145,0.000731145,0.000731145
69,1761.17,0.42128,0.27786,0.86695,0.94703,0.99404,0.98217,0.90163,0.38694,0.25838,0.85496,0.000639518,0.000639518,0.000639518
70,1787.01,0.40417,0.27095,0.86014,0.94745,0.9919,0.98236,0.9011,0.38519,0.25909,0.85537,0.000554691,0.000554691,0.000554691
71,1814.22,0.36314,0.22272,0.84126,0.94798,0.9861,0.9825,0.89401,0.38819,0.26533,0.85589,0.000476796,0.000476796,0.000476796
72,1837.98,0.3599,0.21794,0.83846,0.94343,0.99385,0.98283,0.89899,0.38586,0.25917,0.85508,0.000405953,0.000405953,0.000405953
73,1862.18,0.35368,0.21581,0.83931,0.94683,0.98972,0.98317,0.90433,0.38226,0.2579,0.8543,0.00034227,0.00034227,0.00034227
74,1886.42,0.35014,0.20718,0.83665,0.95149,0.98899,0.98336,0.90012,0.38653,0.25461,0.85537,0.000285847,0.000285847,0.000285847
75,1910.58,0.34909,0.20673,0.83673,0.95243,0.98602,0.98375,0.90104,0.38237,0.25548,0.85503,0.000236769,0.000236769,0.000236769
76,1934.97,0.35167,0.2072,0.83783,0.95335,0.98582,0.98349,0.90213,0.38231,0.25356,0.85438,0.000195113,0.000195113,0.000195113
77,1959.35,0.34377,0.20222,0.83506,0.95218,0.986,0.98387,0.90078,0.38231,0.2554,0.85393,0.000160943,0.000160943,0.000160943
78,1983.6,0.34728,0.20323,0.83774,0.95321,0.98499,0.98361,0.90154,0.37997,0.25035,0.85406,0.000134311,0.000134311,0.000134311
79,2008.12,0.34378,0.20335,0.83484,0.94343,0.99499,0.98395,0.90175,0.38215,0.2519,0.85409,0.000115259,0.000115259,0.000115259
