               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074207,            0.026606,            0.054896,              0.6057,             0.23275,             0.32323,             0.17433,             0.04585,            0.012025,            0.042446,            0.070261,           0.0033043,           0.0033043
                   1,            0.051459,            0.018417,            0.041629,             0.26841,             0.61675,             0.32716,             0.13665,            0.043657,           0.0074201,            0.031415,            0.040195,            0.006572,            0.006572
                   2,            0.050397,            0.012437,            0.033223,             0.40486,             0.61618,             0.52979,             0.26182,            0.038508,           0.0057413,            0.025402,            0.010063,           0.0097736,           0.0097736
                   3,             0.04583,             0.01001,            0.025627,             0.69843,             0.92547,              0.8492,             0.40857,            0.036945,           0.0044702,            0.013505,            0.009703,            0.009703,            0.009703
                   4,            0.039775,           0.0087972,            0.018443,             0.77223,             0.94496,             0.89798,             0.58058,            0.029153,           0.0044221,           0.0089157,            0.009703,            0.009703,            0.009703
                   5,            0.036581,           0.0080617,             0.01461,             0.86341,             0.83529,             0.93199,             0.57446,            0.033788,           0.0041804,           0.0099066,            0.009604,            0.009604,            0.009604
                   6,            0.034807,           0.0079848,            0.011052,             0.89337,             0.93717,              0.9376,             0.58524,            0.027962,           0.0040507,           0.0058124,            0.009505,            0.009505,            0.009505
                   7,            0.033515,           0.0075332,            0.010153,             0.96498,             0.95673,             0.98241,             0.63704,            0.027882,           0.0039712,           0.0038724,            0.009406,            0.009406,            0.009406
                   8,            0.032014,           0.0076184,            0.008796,             0.95854,             0.94368,             0.98323,             0.62344,            0.025953,           0.0041792,           0.0046029,            0.009307,            0.009307,            0.009307
                   9,            0.031213,           0.0075784,           0.0088365,             0.91671,             0.92341,             0.95829,             0.65152,            0.023744,           0.0039465,            0.010082,            0.009208,            0.009208,            0.009208
                  10,            0.029918,           0.0074261,           0.0084036,             0.93556,              0.9459,             0.98109,             0.69232,            0.021761,            0.003858,           0.0055034,            0.009109,            0.009109,            0.009109
                  11,            0.029056,           0.0073898,           0.0071538,             0.98748,             0.98475,             0.98917,             0.70551,            0.023433,           0.0039811,           0.0028356,             0.00901,             0.00901,             0.00901
                  12,            0.028446,           0.0069621,           0.0078512,             0.97555,               0.976,             0.98808,             0.71382,            0.022183,           0.0039275,           0.0024678,            0.008911,            0.008911,            0.008911
                  13,            0.028396,           0.0070189,           0.0070272,             0.96682,             0.96922,             0.99263,             0.70606,            0.022768,           0.0037006,           0.0032563,            0.008812,            0.008812,            0.008812
                  14,            0.028119,           0.0070231,            0.006687,             0.98633,              0.9769,               0.995,             0.74852,            0.020303,           0.0035482,           0.0021615,            0.008713,            0.008713,            0.008713
                  15,            0.027347,           0.0067882,           0.0062476,             0.97652,             0.99215,             0.98907,             0.75273,            0.021315,           0.0035485,           0.0020544,            0.008614,            0.008614,            0.008614
                  16,            0.026447,           0.0069428,           0.0064868,             0.98782,             0.98528,             0.98973,             0.74421,            0.021123,           0.0035915,           0.0018172,            0.008515,            0.008515,            0.008515
                  17,            0.025584,           0.0066559,           0.0057591,              0.9909,             0.97721,             0.99162,             0.73566,            0.020252,            0.003634,            0.001783,            0.008416,            0.008416,            0.008416
                  18,             0.02549,           0.0066804,            0.005801,             0.98119,             0.98847,             0.99365,             0.76323,            0.019747,           0.0035182,           0.0018548,            0.008317,            0.008317,            0.008317
                  19,            0.025652,           0.0065441,           0.0063314,             0.96927,             0.98591,             0.98739,             0.73395,            0.021507,           0.0034584,           0.0015731,            0.008218,            0.008218,            0.008218
                  20,            0.025024,           0.0062762,            0.005377,              0.9935,             0.98634,             0.99246,             0.73136,            0.021339,           0.0034803,            0.001632,            0.008119,            0.008119,            0.008119
                  21,            0.024628,           0.0062876,           0.0049597,             0.98283,             0.98936,             0.99335,             0.75521,            0.020542,           0.0034404,           0.0018299,             0.00802,             0.00802,             0.00802
                  22,            0.023944,           0.0063769,           0.0046871,             0.98953,             0.99137,             0.99231,             0.77012,            0.018541,           0.0034072,           0.0014669,            0.007921,            0.007921,            0.007921
                  23,            0.023261,           0.0062299,           0.0049136,             0.99145,             0.98072,             0.99425,             0.74316,             0.02148,           0.0036015,           0.0014792,            0.007822,            0.007822,            0.007822
                  24,            0.023814,           0.0062207,           0.0052152,             0.99503,             0.98118,             0.98711,             0.75386,            0.020099,           0.0034422,           0.0013373,            0.007723,            0.007723,            0.007723
                  25,            0.023097,           0.0061873,           0.0051803,             0.98558,              0.9947,             0.99229,             0.73847,            0.019583,           0.0033521,           0.0012725,            0.007624,            0.007624,            0.007624
                  26,            0.022999,            0.006167,           0.0040188,             0.99013,             0.99523,             0.99449,             0.78208,             0.01853,           0.0032789,           0.0012641,            0.007525,            0.007525,            0.007525
                  27,            0.022843,           0.0059771,           0.0047125,             0.99168,             0.99016,             0.99439,             0.78491,            0.017749,           0.0032005,           0.0012744,            0.007426,            0.007426,            0.007426
                  28,             0.02238,           0.0061321,           0.0045996,             0.98538,             0.98645,             0.98915,             0.77583,            0.018814,           0.0032821,           0.0011952,            0.007327,            0.007327,            0.007327
                  29,            0.022467,           0.0060617,           0.0041979,             0.98418,             0.99472,             0.99431,             0.77997,            0.018793,           0.0033437,           0.0011409,            0.007228,            0.007228,            0.007228
                  30,            0.021913,           0.0060052,           0.0041945,             0.99149,             0.99645,             0.99467,              0.7798,            0.018515,           0.0032736,           0.0011006,            0.007129,            0.007129,            0.007129
                  31,            0.021839,           0.0060643,           0.0043614,             0.98745,             0.99675,             0.99489,             0.79919,            0.017052,           0.0031383,           0.0012962,             0.00703,             0.00703,             0.00703
                  32,            0.021581,           0.0058696,           0.0038605,             0.98982,             0.99462,               0.995,             0.77394,            0.017628,           0.0031705,           0.0012109,            0.006931,            0.006931,            0.006931
                  33,            0.021236,           0.0058188,           0.0037371,             0.98493,             0.99621,             0.99374,             0.78927,              0.0174,           0.0032168,           0.0012117,            0.006832,            0.006832,            0.006832
                  34,            0.021079,           0.0056909,           0.0036963,             0.98553,             0.99453,              0.9929,             0.78144,            0.017693,           0.0032274,          0.00094908,            0.006733,            0.006733,            0.006733
                  35,            0.021011,           0.0056639,           0.0030987,              0.9885,             0.99505,             0.99313,             0.77793,            0.017543,           0.0032968,           0.0010912,            0.006634,            0.006634,            0.006634
                  36,            0.020235,           0.0056032,           0.0037195,             0.99191,             0.99318,             0.99467,             0.79906,            0.016159,           0.0031862,           0.0010617,            0.006535,            0.006535,            0.006535
